datetime,CF1_AC7407_v78_mean,CF1_AC7407_T68_mean,CF1_AC7407_dir76_mean
2017-01-01 00:00:00,10.431,19.6,109.9
2017-01-01 00:10:00,11.17,19.5,108.5
2017-01-01 00:20:00,9.591,19.3,115.5
2017-01-01 00:30:00,10.727,19.1,115.5
2017-01-01 00:40:00,9.871,19.0,111.3
2017-01-01 00:50:00,9.85,18.8,112.7
2017-01-01 01:00:00,10.437,18.8,114.1
2017-01-01 01:10:00,8.9,18.6,111.3
2017-01-01 01:20:00,9.871,18.6,117.0
2017-01-01 01:30:00,10.423,18.6,121.2
2017-01-01 01:40:00,11.552,18.4,118.4
2017-01-01 01:50:00,11.629,18.3,115.5
2017-01-01 02:00:00,12.216,18.1,114.1
2017-01-01 02:10:00,11.584,17.9,111.3
2017-01-01 02:20:00,11.914,17.8,114.1
2017-01-01 02:30:00,12.024,17.8,115.5
2017-01-01 02:40:00,12.856,17.6,117.0
2017-01-01 02:50:00,13.48,17.6,114.1
2017-01-01 03:00:00,14.130999999999998,17.6,111.3
2017-01-01 03:10:00,14.95,17.6,112.7
2017-01-01 03:20:00,14.91,17.6,115.5
2017-01-01 03:30:00,14.833,17.4,115.5
2017-01-01 03:40:00,14.705,17.4,114.1
2017-01-01 03:50:00,14.638,17.4,114.1
2017-01-01 04:00:00,13.809,17.2,112.7
2017-01-01 04:10:00,14.275,17.2,112.7
2017-01-01 04:20:00,13.894,17.4,114.1
2017-01-01 04:30:00,13.899,17.2,115.5
2017-01-01 04:40:00,13.723,17.2,114.1
2017-01-01 04:50:00,14.419,17.2,114.1
2017-01-01 05:00:00,14.187,17.2,114.1
2017-01-01 05:10:00,13.259,17.2,115.5
2017-01-01 05:20:00,12.533,17.2,112.7
2017-01-01 05:30:00,11.546,17.2,109.9
2017-01-01 05:40:00,11.701,17.2,109.9
2017-01-01 05:50:00,10.73,17.2,109.9
2017-01-01 06:00:00,10.389,17.2,109.9
2017-01-01 06:10:00,9.623,17.4,111.3
2017-01-01 06:20:00,9.22,17.4,112.7
2017-01-01 06:30:00,9.86,17.6,112.7
2017-01-01 06:40:00,8.921,17.6,112.7
2017-01-01 06:50:00,8.585,17.9,112.7
